,CreditScore,Geography,NumOfProducts,IsActiveMember,vader_lexicon_score,age_category
215,668,1,1,1,1,3
216,695,0,1,0,-1,3
217,730,2,2,0,1,2
218,807,0,2,0,-1,3
219,592,0,1,1,-1,4
220,726,0,2,1,0,1
221,514,2,1,1,1,1
222,567,0,2,1,1,3
223,850,0,1,0,1,2
224,671,1,1,1,-1,3
225,670,0,2,0,1,2
226,694,0,2,1,1,1
227,547,1,3,1,-1,2
228,751,1,1,0,-1,3
229,594,1,1,0,1,1
230,673,0,2,1,1,4
231,610,0,2,0,1,2
232,512,0,2,1,-1,2
233,767,1,2,1,1,1
234,585,0,2,1,0,4
235,763,1,1,0,-1,3
236,712,0,1,1,1,1
237,539,1,3,0,-1,3
238,668,0,3,0,0,3
239,703,0,2,1,1,1
240,662,2,2,0,-1,2
241,725,1,1,0,1,2
242,703,0,2,1,1,2
243,659,1,1,1,0,4
244,523,2,2,0,1,2
245,635,0,1,0,-1,2
246,772,1,2,0,1,1
247,545,0,2,1,1,1
248,634,1,1,1,1,1
249,739,1,1,0,-1,4
250,771,1,1,0,1,2
251,587,2,2,1,1,2
252,681,0,2,1,1,4
253,544,1,1,1,1,2
254,696,2,1,0,-1,1
255,766,2,2,1,1,3
256,727,0,2,1,0,2
257,671,1,2,0,1,2
258,693,0,1,1,1,1
259,850,1,1,1,1,2
260,732,1,2,1,1,3
261,726,2,1,0,1,3
262,557,0,2,0,1,1
263,682,0,1,1,1,1
264,738,2,1,1,1,1
265,531,2,1,0,1,2
266,498,0,2,1,1,2
267,651,0,2,0,1,2
268,549,2,1,0,-1,2
269,791,1,1,0,1,2
270,650,2,2,1,-1,3
271,733,1,3,0,-1,2
272,811,1,2,1,1,2
273,707,0,2,0,1,1
274,712,1,1,1,1,1
275,706,2,2,1,1,2
276,756,0,1,1,-1,4
277,777,0,2,0,1,4
278,646,0,1,1,1,2
279,714,0,1,0,-1,3
280,782,0,2,1,1,2
281,775,2,2,1,1,1
282,479,1,1,1,-1,2
283,807,0,1,1,1,3
284,799,0,2,1,1,1
285,675,0,2,0,1,2
286,602,2,1,0,1,1
287,475,0,1,0,1,1
288,744,2,1,1,1,1
289,588,2,2,0,1,2
290,703,1,1,1,1,3
291,747,2,2,0,1,3
292,583,0,2,0,1,1
293,750,2,1,0,0,2
294,681,0,2,1,1,2
295,773,0,1,0,-1,1
296,714,0,1,1,0,1
297,687,2,3,0,0,3
298,511,0,1,1,-1,4
299,627,0,2,1,1,2
300,694,0,2,0,1,1
301,616,2,1,0,1,2
302,687,0,2,0,1,2
303,712,0,2,1,0,2
304,553,0,1,0,1,2
305,667,0,1,1,1,1
306,731,0,1,1,-1,3
307,629,1,2,0,1,2
308,614,0,1,0,-1,3
309,438,1,1,0,1,1
310,652,0,2,1,1,4
311,729,1,1,0,1,1
312,642,0,2,0,1,2
313,806,1,1,0,1,4
314,744,2,1,1,1,2
315,474,2,2,0,0,2
316,559,0,1,0,0,3
317,706,2,2,1,0,3
318,628,2,1,0,1,1
319,429,0,1,0,1,1
320,525,2,1,1,1,4
321,680,0,1,1,1,1
322,749,0,1,0,0,2
323,763,0,2,0,-1,1
324,734,0,2,0,1,1
325,716,0,1,0,1,2
326,594,0,2,0,1,2
327,644,0,1,0,0,3
328,671,1,1,1,1,2
329,664,1,2,1,1,1
330,656,0,2,1,1,3
331,667,2,1,0,1,2
332,663,1,2,1,1,3
333,584,1,1,0,-1,1
334,626,2,1,0,0,2
335,485,0,1,0,-1,1
336,659,1,2,1,1,1
337,649,0,2,0,1,2
338,805,2,1,0,0,2
339,716,1,1,0,-1,2
340,642,1,2,1,0,2
341,659,0,1,0,1,1
342,545,2,2,1,1,3
343,543,0,2,0,1,1
344,718,0,2,0,-1,1
345,840,0,2,0,1,3
346,630,1,2,0,1,2
347,643,1,1,1,1,4
348,654,1,1,1,1,1
349,582,0,2,1,1,2
350,659,2,2,1,1,1
351,762,2,1,1,0,2
352,568,2,1,0,-1,1
353,670,2,2,1,0,1
354,613,0,2,1,1,3
355,539,0,2,0,1,1
356,850,2,2,1,1,4
357,522,2,1,0,0,2
358,737,0,1,1,1,3
359,520,0,2,1,1,4
360,706,2,2,1,1,1
361,643,1,1,1,-1,3
362,648,0,1,1,1,3
363,443,1,2,0,1,1
364,640,0,2,1,1,4
365,628,2,1,1,1,2
366,540,1,2,0,1,3
367,460,1,2,1,1,2
368,636,1,2,1,1,2
369,593,0,1,0,1,1
370,801,2,1,1,-1,3
371,640,1,2,1,1,4
372,611,1,2,1,1,1
373,802,1,1,1,1,1
374,717,1,2,1,1,2
375,769,0,1,1,1,2
376,745,1,3,1,-1,3
377,572,2,1,0,1,2
378,629,2,1,0,1,1
379,687,2,3,0,0,2
380,483,0,2,1,1,3
381,690,0,2,0,1,2
382,492,1,2,1,1,1
383,709,1,2,0,1,1
384,705,1,1,0,1,3
385,560,0,1,1,1,4
386,611,2,2,0,1,3
387,730,2,2,1,1,4
388,709,2,2,1,1,3
389,544,0,2,0,-1,1
390,712,1,1,1,1,1
391,752,1,1,1,1,2
392,648,2,2,0,0,3
393,556,2,2,0,0,2
394,594,2,1,1,1,1
395,645,1,2,1,1,2
396,557,0,1,1,-1,2
397,547,1,1,0,1,1
398,701,0,2,1,1,2
399,616,0,1,0,-1,4
400,605,0,1,0,1,4
401,593,1,1,1,1,2
402,751,2,2,1,1,4
403,443,2,2,1,1,2
404,685,0,2,1,1,1
405,718,0,1,0,1,2
406,538,2,1,0,0,3
407,611,2,2,0,0,2
408,668,1,2,1,1,2
409,537,1,1,0,1,3
410,709,2,2,0,0,1
411,850,0,2,1,1,2
412,745,2,1,1,1,1
413,693,1,3,1,1,3
414,795,2,2,0,-1,2
415,626,2,2,0,1,1
416,487,1,1,0,-1,4
417,556,0,1,1,1,2
418,643,0,2,0,1,3
419,605,0,2,0,1,1
420,756,1,1,0,-1,4
421,586,0,2,0,1,2
422,535,1,1,0,-1,2
423,678,0,1,0,1,2
424,596,0,1,0,1,2
425,648,0,1,0,1,1
426,492,1,2,0,1,2
427,702,0,1,1,1,3
428,486,1,1,0,1,2
429,568,1,1,0,1,2
430,619,1,1,1,-1,4
431,724,1,2,1,1,3
432,548,1,1,0,1,2
433,545,1,1,0,-1,2
434,683,0,1,0,1,2
435,762,0,1,1,0,4
436,627,1,2,0,0,1
437,516,0,2,0,1,2
438,800,0,2,0,1,2
439,464,1,1,1,1,3
440,626,0,1,0,1,2
441,790,0,2,0,1,1
442,534,0,2,1,1,2
443,745,0,1,1,1,3
444,553,2,1,0,0,3
445,748,0,1,1,1,1
446,722,0,1,0,0,2
447,501,0,1,1,1,2
448,675,0,1,0,-1,2
449,778,2,2,0,-1,3
450,494,1,1,0,1,2
451,850,0,2,1,1,2
452,592,2,1,0,-1,1
453,590,2,1,0,1,3
454,758,0,1,1,1,2
455,506,0,2,0,1,2
456,733,0,1,1,1,2
457,711,0,2,0,1,2
458,514,1,1,1,-1,3
459,637,2,1,1,1,2
460,468,1,2,1,-1,1
461,539,0,2,0,1,2
462,509,2,2,0,0,1
463,662,0,1,1,-1,1
464,818,2,2,1,1,1
465,608,0,1,0,1,2
466,850,2,2,1,1,1
467,816,1,3,0,-1,2
468,536,0,2,0,1,2
469,753,0,2,1,-1,2
470,631,2,1,1,1,1
471,703,0,1,0,-1,2
472,774,0,1,0,1,1
473,785,0,2,0,1,1
474,571,0,2,0,1,2
475,621,1,1,0,0,3
476,605,1,1,1,1,1
477,611,0,2,0,-1,2
478,569,0,1,1,1,2
479,658,0,1,1,1,1
480,788,2,1,1,1,2
481,525,0,2,0,-1,1
482,798,0,3,0,-1,2
483,486,1,2,0,1,2
484,615,2,2,0,0,4
485,730,0,1,1,0,2
486,641,0,2,0,-1,2
487,542,0,1,1,1,2
488,692,0,2,1,1,1
489,714,1,1,1,1,4
490,591,2,1,1,1,1
491,710,0,1,1,1,3
492,639,0,2,1,1,2
493,531,0,1,0,-1,3
494,673,0,2,0,-1,2
495,765,1,2,1,1,2
496,622,0,2,0,1,1
497,806,0,1,1,1,2
498,757,1,2,1,1,1
499,570,0,1,1,0,4
500,555,2,2,1,1,1
501,692,0,2,1,1,4
502,774,0,1,0,-1,4
503,638,2,2,1,1,3
504,543,2,1,0,1,3
505,584,0,2,0,1,1
506,691,1,1,0,0,1
507,684,1,1,0,0,2
508,733,0,2,1,1,1
509,599,2,2,1,1,2
510,524,1,2,1,0,1
511,632,1,2,0,0,2
512,735,2,2,0,0,2
513,734,0,1,1,1,2
514,605,0,1,1,-1,4
515,793,2,2,0,1,2
516,468,0,3,1,-1,4
517,779,1,2,0,0,2
518,698,0,2,1,0,3
519,707,0,1,1,1,4
520,850,0,1,0,0,2
521,850,0,1,1,0,4
522,527,2,2,1,1,2
523,696,1,1,1,0,1
524,661,0,1,0,1,3
525,776,0,2,1,1,1
526,701,0,2,1,1,3
527,610,0,2,0,1,1
528,572,1,1,0,0,3
529,673,0,1,1,1,1
530,519,2,2,1,0,4
531,702,2,1,1,1,1
532,729,0,1,1,1,1
533,543,2,1,0,-1,2
534,550,0,1,0,0,2
535,608,0,1,0,0,4
536,639,1,2,0,0,2
537,686,2,2,0,1,2
538,564,1,3,1,-1,4
539,745,1,1,0,-1,1
540,833,0,2,1,1,2
541,622,0,2,1,1,1
542,597,0,1,1,1,3
543,721,2,1,0,0,4
544,504,0,3,1,0,3
545,842,2,2,0,1,3
546,587,0,2,0,1,2
547,479,1,2,0,0,1
548,508,0,2,1,-1,3
549,749,0,3,1,1,1
550,721,1,2,0,0,2
551,674,1,1,1,0,3
552,685,2,1,0,1,1
553,417,0,2,0,1,2
554,574,1,1,0,0,2
555,590,2,3,1,0,4
556,587,1,2,0,0,2
557,598,1,1,0,1,3
558,741,2,2,1,1,4
559,850,2,1,1,-1,4
560,584,1,1,1,0,1
561,650,2,1,1,1,4
562,607,2,1,1,1,2
563,509,0,1,0,0,3
564,689,2,1,1,1,2
565,543,0,2,1,0,2
566,438,2,1,0,0,4
567,687,2,1,1,1,4
568,737,1,2,1,0,1
569,761,0,3,1,1,1
570,601,0,2,1,1,3
571,651,0,1,0,0,3
572,745,0,2,0,1,2
573,648,2,2,1,0,3
574,848,2,1,1,1,2
575,546,0,2,1,1,1
576,439,2,1,0,1,1
577,755,0,2,1,-1,1
578,593,0,1,0,1,3
579,701,0,2,1,1,2
580,701,2,2,0,0,2
581,607,2,2,1,0,2
582,586,2,2,1,1,4
583,547,1,1,0,0,1
584,647,1,2,0,-1,4
585,760,0,1,0,0,4
586,621,2,1,0,0,4
587,725,0,1,1,1,3
588,526,0,1,0,1,2
589,519,2,2,0,0,3
590,713,1,1,1,-1,2
591,700,0,1,0,1,2
592,666,0,1,1,1,2
593,630,2,1,0,1,1
594,779,2,2,1,1,1
595,611,1,1,0,0,3
596,685,2,2,0,1,3
597,646,1,1,1,0,2
598,683,1,1,0,-1,4
599,484,1,1,1,0,2
600,601,0,3,1,0,3
601,762,2,2,1,0,1
602,687,0,1,1,1,4
603,566,0,1,0,0,1
604,702,0,1,1,0,2
605,601,0,1,1,-1,1
606,699,0,2,1,0,4
607,584,0,2,0,1,1
608,699,0,2,1,1,2
609,698,1,1,0,0,4
610,495,0,1,0,1,1
611,650,0,2,0,0,1
612,605,0,1,1,0,4
613,667,2,1,1,1,2
614,688,1,1,1,0,1
615,727,2,1,0,0,1
616,754,2,2,0,1,2
617,612,1,1,0,0,4
618,546,2,1,1,0,3
619,673,2,2,1,0,2
620,593,0,1,0,0,2
621,656,2,1,1,0,2
622,535,1,2,1,0,4
623,678,1,2,1,0,2
624,477,2,1,1,0,3
625,850,2,1,0,0,2
626,427,0,1,1,0,1
627,752,0,1,0,0,3
628,649,0,2,1,0,3
629,799,2,1,0,0,1
630,589,0,1,0,0,4
631,583,1,1,0,0,4
632,839,2,1,0,0,2
633,540,1,2,1,0,3
634,850,0,2,0,0,1
635,696,2,2,0,0,4
636,660,2,2,0,0,2
637,682,0,1,1,0,3
638,744,0,1,1,0,3
639,785,0,1,0,0,2
640,752,2,1,0,0,3
641,706,0,1,0,0,1
642,583,0,1,1,0,1
643,660,1,1,0,0,2
644,819,0,1,0,0,2
645,673,0,1,0,0,2
646,752,0,2,1,0,1
647,578,0,1,0,0,2
648,438,0,2,0,0,2
649,652,0,2,1,0,2
650,629,0,2,1,0,3
651,720,0,1,1,0,4
652,668,0,1,0,0,3
653,459,1,1,1,0,3
654,729,2,2,1,0,1
655,498,1,1,1,0,1
656,549,2,1,1,0,1
657,601,1,2,1,0,4
658,544,0,1,1,0,4
659,751,0,2,0,0,1
660,632,1,1,1,0,3
661,694,2,1,1,0,4
662,678,0,2,1,0,1
663,695,0,2,1,0,3
664,661,0,2,1,0,3
665,661,0,2,1,0,2
666,559,0,1,1,0,1
667,503,0,2,1,0,1
668,695,2,1,1,0,3
669,640,0,1,1,0,3
670,624,1,2,0,0,3
671,667,0,2,1,0,3
672,642,0,1,0,0,1
673,640,2,2,1,0,1
674,529,2,2,1,0,2
675,563,0,2,1,0,2
676,593,2,2,0,0,2
677,739,1,1,1,0,3
678,788,2,2,1,0,4
679,684,2,2,0,0,2
680,482,0,1,1,0,4
681,591,2,1,1,0,4
682,651,1,1,1,0,3
683,749,1,2,0,0,2
684,583,0,1,0,0,1
685,661,2,1,0,0,3
686,715,0,2,1,0,1
687,769,1,1,0,0,3
688,625,0,1,0,0,4
689,641,0,1,0,0,2
690,716,1,2,0,0,1
691,767,0,2,0,0,3
692,745,1,1,0,0,2
693,589,0,2,1,0,2
694,796,0,1,1,0,3
695,664,0,2,1,0,4
696,445,2,1,1,0,4
697,543,1,2,1,0,4
698,746,2,2,1,0,2
699,742,1,1,1,0,2
700,750,0,2,0,0,1
701,669,0,1,0,0,1
702,594,2,2,1,0,3
703,574,2,2,1,0,2
704,659,1,2,1,0,2
705,750,1,3,0,0,2
706,626,1,1,1,0,2
707,620,0,2,0,0,3
708,580,0,2,1,0,2
709,686,0,2,0,0,2
710,540,0,1,0,0,3
711,634,1,1,0,0,2
712,632,2,1,0,0,2
713,501,0,1,0,0,3
714,650,2,3,0,0,1
715,786,0,2,0,0,2
716,554,1,1,0,0,2
717,701,2,2,0,0,3
718,474,0,2,0,0,3
719,621,0,1,1,0,3
720,672,2,2,1,0,4
721,459,2,2,1,0,3
722,669,0,2,0,0,1
723,776,0,1,0,0,2
724,694,0,1,1,0,2
725,787,0,2,1,0,3
726,580,0,2,1,0,2
727,711,0,3,1,0,1
728,673,0,1,0,0,2
729,499,0,1,0,0,4
730,591,0,1,1,0,1
731,769,0,2,0,0,1
732,657,2,1,0,0,1
733,738,1,2,0,0,3
734,545,1,1,1,0,4
735,497,0,1,1,0,3
736,816,2,1,1,0,4
737,525,0,1,1,0,2
738,725,0,2,0,0,3
739,692,0,2,0,0,1
740,618,0,1,1,0,1
741,546,0,1,1,0,1
742,635,0,1,1,0,1
743,611,0,3,0,0,3
744,650,0,2,1,0,4
745,606,0,2,1,0,2
746,844,0,1,0,0,1
747,450,2,1,0,0,3
748,727,2,1,1,0,2
749,460,1,2,1,0,3
750,649,0,2,1,0,3
751,758,1,1,0,0,3
752,490,0,1,1,0,2
753,815,1,2,0,0,2
754,838,2,2,0,0,2
755,803,0,2,0,0,1
756,664,1,2,0,0,2
757,736,2,2,1,0,1
758,633,0,1,0,0,2
759,664,0,1,1,0,4
760,600,0,1,0,0,3
761,693,0,1,0,0,2
762,663,1,1,0,0,2
763,742,1,1,0,0,1
764,710,1,3,1,0,3
765,710,2,1,0,0,1
766,700,0,2,1,0,4
767,720,1,2,0,0,4
768,684,2,2,0,0,3
769,531,0,1,1,0,4
770,742,1,2,0,0,2
771,717,0,1,0,0,1
772,589,0,2,1,0,1
773,767,0,1,0,0,2
774,636,1,2,0,0,3
775,648,0,1,1,0,2
776,622,1,1,0,0,4
777,692,2,1,0,0,1
778,754,0,2,1,0,1
779,679,2,1,0,0,2
780,639,0,2,0,0,1
781,774,0,2,1,0,1
782,517,0,2,1,0,3
783,571,0,2,0,0,2
784,747,1,1,1,0,4
785,792,2,1,1,0,2
786,688,0,2,1,0,1
787,714,1,1,1,0,3
788,562,2,2,0,0,2
789,704,2,1,1,0,3
790,698,0,2,1,0,2
791,611,0,2,1,0,3
792,850,1,1,0,0,3
793,743,1,1,1,0,2
794,654,0,1,0,0,1
795,761,1,2,0,0,2
796,702,0,1,1,0,3
797,488,1,1,0,0,1
798,683,0,2,1,0,2
799,601,1,1,1,0,3
800,605,0,2,1,0,4
801,671,1,2,1,0,3
802,614,1,2,1,0,1
803,511,2,2,1,0,1
804,850,0,2,1,0,2
805,790,2,1,0,0,3
806,793,0,1,0,0,2
807,628,0,2,1,0,4
808,598,1,1,1,0,4
809,657,0,1,0,0,2
810,618,0,2,0,0,2
811,681,2,2,1,0,4
812,516,2,2,1,0,2
813,421,1,3,1,0,1
814,700,0,2,0,0,1
815,745,0,2,0,0,1
816,696,0,2,0,0,1
817,580,1,1,0,0,3
818,497,2,1,1,0,1
819,720,0,2,0,0,3
820,659,1,2,0,0,2
821,841,0,1,0,0,2
822,642,2,1,0,0,2
823,732,2,1,1,0,4
824,600,2,2,0,0,2
825,464,1,2,1,0,2
826,680,0,2,1,0,3
827,758,2,2,1,0,4
828,630,1,2,1,0,1
829,577,0,2,0,0,2
830,684,0,2,1,0,2
831,708,2,1,1,0,3
832,732,1,1,1,0,1
833,634,1,2,1,0,2
834,633,0,2,0,0,1
835,559,0,2,0,0,2
836,694,2,2,1,0,2
837,686,1,1,1,0,4
838,553,2,1,1,0,3
839,507,0,1,0,0,2
840,732,1,1,0,0,3
841,818,0,1,0,0,1
842,660,1,1,1,0,2
843,773,2,1,0,0,3
844,640,0,1,0,0,3
845,505,0,1,0,0,3
846,714,1,2,0,0,1
847,468,0,2,0,0,3
848,611,2,1,1,0,4
849,705,0,1,1,0,1
850,646,1,2,0,0,3
851,667,1,2,0,0,3
852,511,1,1,1,0,3
853,653,0,2,1,0,3
854,675,0,2,1,0,4
855,523,2,2,0,0,1
856,567,1,1,0,0,3
857,741,2,2,1,0,2
858,456,2,1,1,0,1
859,598,0,2,0,0,4
860,667,0,1,0,0,3
861,548,0,1,0,0,1
862,725,0,1,1,0,3
863,717,0,2,1,0,4
864,594,0,2,0,0,2
865,678,1,2,1,0,1
866,545,0,2,1,0,2
867,636,0,1,0,0,3
868,603,1,2,0,0,3
869,435,0,1,1,0,2
870,535,0,1,1,0,2
871,629,1,3,0,0,3
872,722,0,2,1,0,2
873,561,0,2,0,0,1
874,645,0,2,1,0,2
875,501,0,1,0,0,2
876,502,1,1,1,0,1
877,652,2,2,1,0,3
878,574,0,1,0,0,2
879,518,0,2,1,0,3
880,749,0,1,0,0,4
881,679,0,3,0,0,3
882,565,0,1,0,0,2
883,643,0,1,0,0,3
884,515,0,1,1,0,4
885,521,0,2,1,0,1
886,739,2,1,0,0,2
887,585,0,2,1,0,3
888,733,1,1,1,0,4
889,542,0,1,1,0,3
890,788,2,1,0,0,2
891,435,1,2,1,0,1
892,577,0,1,0,0,3
893,703,0,3,1,0,4
894,728,1,2,0,0,2
895,728,1,1,1,0,1
896,718,0,2,0,0,2
897,621,0,1,0,0,2
898,523,0,1,0,0,2
899,657,1,1,0,0,1
900,727,1,2,0,0,2
901,643,0,2,1,0,2
902,645,0,1,1,0,3
903,568,0,2,0,0,1
904,599,0,1,0,0,4
905,672,0,1,1,0,3
906,685,0,1,1,0,2
907,516,0,1,0,0,3
908,685,2,1,1,0,1
909,806,2,2,0,0,1
910,604,0,2,1,0,2
911,648,2,1,1,0,4
912,545,2,1,0,0,1
913,756,1,1,0,0,1
914,569,0,1,1,0,2
915,596,0,1,0,0,3
916,475,0,1,1,0,2
917,646,0,1,1,0,3
918,784,2,2,0,0,2
919,552,2,2,0,0,3
920,729,0,2,1,0,3
921,609,2,1,0,0,4
922,555,0,3,0,0,4
923,572,1,1,1,0,1
924,785,0,1,1,0,2
925,714,1,2,1,0,2
926,738,2,1,1,0,2
927,639,1,1,1,0,2
928,520,1,2,1,0,4
929,764,0,1,0,0,1
930,661,2,1,0,0,2
931,564,1,2,1,0,3
932,708,1,2,0,0,3
933,512,2,1,1,0,2
934,592,2,3,1,0,2
935,619,0,2,1,0,2
936,775,0,1,1,0,4
937,850,1,1,1,0,3
938,577,0,1,1,0,2
939,724,0,1,0,0,2
940,710,2,1,1,0,2
941,696,0,2,0,0,1
942,376,0,1,0,0,3
943,675,1,1,0,0,1
944,745,0,1,0,0,2
945,697,2,2,1,0,1
946,599,2,1,0,0,2
947,715,0,1,1,0,2
948,659,0,1,1,0,4
949,684,0,1,0,0,3
950,635,0,2,1,0,3
951,789,1,1,0,0,2
952,571,1,1,1,0,4
953,694,2,1,1,0,2
954,665,2,2,1,0,3
955,706,0,1,0,0,3
956,807,2,2,1,0,3
957,771,2,2,1,0,4
958,531,2,1,0,0,1
959,629,0,1,1,0,2
960,850,1,1,1,0,1
961,685,2,1,0,0,2
962,642,2,1,1,0,1
963,529,2,3,0,0,4
964,683,1,1,1,0,3
965,663,0,1,1,0,3
966,563,0,1,1,0,2
967,637,2,2,0,0,2
968,544,0,1,0,0,2
969,649,1,2,1,0,4
970,638,0,1,1,0,3
971,723,0,2,1,0,1
972,635,1,2,0,0,3
973,750,2,2,1,0,2
974,730,0,2,0,0,2
975,750,2,1,1,0,2
976,586,0,1,0,0,3
977,520,0,2,0,0,2
978,652,0,1,0,0,3
979,550,0,2,0,0,3
980,594,0,1,0,0,1
981,749,1,2,0,0,3
982,668,0,2,1,0,1
983,614,1,1,0,0,2
984,773,0,2,1,0,1
985,551,1,2,1,0,1
